Time (UTC),Open,High,Low,Close,Volume 
2003.12.05 06:07:00,1.20812,1.20821,1.20804,1.20804,267.7
2003.12.05 06:08:00,1.20813,1.20834,1.20804,1.20818,600.7
2003.12.05 06:09:00,1.20813,1.20813,1.2079,1.2079,622.6
2003.12.05 06:10:00,1.20825,1.20825,1.20804,1.2080600000000001,413.2
2003.12.05 06:11:00,1.20814,1.20838,1.208,1.20805,760.7
2003.12.05 06:12:00,1.20812,1.20834,1.2080799999999998,1.2082600000000001,739.9
2003.12.05 06:13:00,1.2080600000000001,1.20822,1.20803,1.2080600000000001,492.8
2003.12.05 06:14:00,1.2080899999999999,1.2082,1.20791,1.20804,669.9
2003.12.05 06:15:00,1.20825,1.20836,1.2081899999999999,1.2082600000000001,459.7
2003.12.05 06:16:00,1.2082700000000002,1.20838,1.20811,1.20811,466.0
2003.12.05 06:17:00,1.20825,1.2083700000000002,1.2081600000000001,1.20828,652.5
2003.12.05 06:18:00,1.2082899999999999,1.20882,1.20824,1.20852,752.5
2003.12.05 06:19:00,1.20855,1.20881,1.20841,1.20855,580.9
2003.12.05 06:20:00,1.20878,1.20878,1.20852,1.2085299999999999,253.9
2003.12.05 06:21:00,1.20855,1.20879,1.20844,1.20848,798.7
2003.12.05 06:22:00,1.20858,1.20874,1.20838,1.20844,494.0
2003.12.05 06:23:00,1.20849,1.2087700000000001,1.20849,1.20868,539.2
2003.12.05 06:24:00,1.20849,1.20861,1.2083700000000002,1.20838,642.5
2003.12.05 06:25:00,1.2084,1.20859,1.2082700000000002,1.20836,383.8
2003.12.05 06:26:00,1.2084,1.20851,1.20828,1.20835,490.9
2003.12.05 06:27:00,1.20845,1.20872,1.2083899999999999,1.2085700000000001,777.4
2003.12.05 06:28:00,1.2083,1.2087,1.2083,1.2085,544.2
2003.12.05 06:29:00,1.20852,1.2087299999999999,1.20834,1.20834,482.1
2003.12.05 06:30:00,1.2085,1.20851,1.20818,1.20818,450.3
2003.12.05 06:31:00,1.2084700000000002,1.20865,1.2084,1.20856,698.8
2003.12.05 06:32:00,1.20848,1.20858,1.2083,1.2084,602.0
2003.12.05 06:33:00,1.20841,1.20855,1.20834,1.2084,472.2
2003.12.05 06:34:00,1.2086700000000001,1.20868,1.20842,1.20849,572.0
2003.12.05 06:35:00,1.2085700000000001,1.20878,1.20848,1.20862,654.3
2003.12.05 06:36:00,1.20862,1.2087299999999999,1.2083899999999999,1.2083899999999999,392.2
2003.12.05 06:37:00,1.20851,1.2088,1.20849,1.2085700000000001,803.8
2003.12.05 06:38:00,1.20851,1.20876,1.20851,1.20865,571.2
2003.12.05 06:39:00,1.20852,1.2086299999999999,1.20834,1.20842,760.8
2003.12.05 06:40:00,1.20859,1.20865,1.20836,1.20845,464.0
2003.12.05 06:41:00,1.2086700000000001,1.20882,1.20849,1.20882,617.0
2003.12.05 06:42:00,1.2088299999999998,1.20898,1.2086299999999999,1.20875,358.4
2003.12.05 06:43:00,1.2087299999999999,1.2090299999999998,1.20866,1.20895,372.2
2003.12.05 06:44:00,1.20895,1.20936,1.20889,1.20935,545.5
2003.12.05 06:45:00,1.20935,1.2094,1.2089299999999998,1.20899,463.7
2003.12.05 06:46:00,1.209,1.20926,1.20896,1.20905,498.8
2003.12.05 06:47:00,1.20895,1.2091100000000001,1.20879,1.2089299999999998,469.5
2003.12.05 06:48:00,1.20886,1.20907,1.20878,1.20907,596.5
2003.12.05 06:49:00,1.20916,1.20916,1.20884,1.20891,541.4
2003.12.05 06:50:00,1.2091,1.20913,1.20874,1.20874,551.3
2003.12.05 06:51:00,1.20868,1.20917,1.20868,1.20895,481.7
2003.12.05 06:52:00,1.2088700000000001,1.20897,1.20859,1.20881,456.5
2003.12.05 06:53:00,1.20874,1.20906,1.2086700000000001,1.20906,426.3
2003.12.05 06:54:00,1.20902,1.20917,1.2088700000000001,1.2088700000000001,503.9
2003.12.05 06:55:00,1.20891,1.20913,1.20891,1.20906,423.1
2003.12.05 06:56:00,1.20909,1.20919,1.20882,1.20885,534.1
2003.12.05 06:57:00,1.20905,1.2092,1.20889,1.20889,546.3
2003.12.05 06:58:00,1.20902,1.2092399999999999,1.2089,1.20902,402.8
2003.12.05 06:59:00,1.20897,1.20927,1.20896,1.20923,605.9
2003.12.05 07:00:00,1.20935,1.20937,1.20907,1.2092,600.7
2003.12.05 07:01:00,1.20923,1.20943,1.20904,1.20915,585.0
2003.12.05 07:02:00,1.2091,1.20927,1.2088,1.2090100000000001,477.2
2003.12.05 07:03:00,1.20888,1.209,1.2087700000000001,1.2088700000000001,446.5
2003.12.05 07:04:00,1.20885,1.20896,1.20872,1.2088,792.7
2003.12.05 07:05:00,1.2089,1.2090100000000001,1.20879,1.2088,405.3
2003.12.05 07:06:00,1.20895,1.2094200000000002,1.20895,1.2091399999999999,567.5
2003.12.05 07:07:00,1.2092399999999999,1.20943,1.20908,1.20912,410.3
2003.12.05 07:08:00,1.2090299999999998,1.20927,1.2089299999999998,1.20912,398.1
2003.12.05 07:09:00,1.20898,1.2091399999999999,1.20891,1.20892,507.2
2003.12.05 07:10:00,1.20906,1.20918,1.20898,1.20908,736.3
2003.12.05 07:11:00,1.20891,1.2091399999999999,1.20879,1.20906,454.3
2003.12.05 07:12:00,1.20886,1.20906,1.2087299999999999,1.20894,666.1
2003.12.05 07:13:00,1.20882,1.20915,1.20881,1.20884,719.7
2003.12.05 07:14:00,1.20898,1.2093,1.20882,1.2091100000000001,444.0
2003.12.05 07:15:00,1.20909,1.20927,1.20885,1.20885,353.0
2003.12.05 07:16:00,1.20881,1.2090100000000001,1.20875,1.2089299999999998,293.2
2003.12.05 07:17:00,1.20876,1.20891,1.20845,1.2085,625.6
2003.12.05 07:18:00,1.20823,1.20858,1.20823,1.20836,668.2
2003.12.05 07:19:00,1.2082,1.20849,1.20817,1.20838,423.8
2003.12.05 07:20:00,1.20824,1.2085299999999999,1.20814,1.20834,409.4
2003.12.05 07:21:00,1.20833,1.20871,1.20833,1.20862,395.0
2003.12.05 07:22:00,1.20851,1.20874,1.20835,1.20843,753.3
